sample	chrom	start	end	gene	mean_depth
ERR2512913	NC_000962.3	2288680	2289441	pncA	98.24
ERR2512913	NC_000962.3	2714123	2715532	eis	99.66
ERR2512913	NC_000962.3	2725992	2726780	ahpC	113.41
ERR2512913	NC_000962.3	4246313	4249810	embB	103.48
ERR2512913	NC_000962.3	4326003	4327673	ethA	104.56
ERR3287554	NC_000962.3	7101	9818	gyrA	135.42
ERR3287554	NC_000962.3	759606	763325	rpoB	114.19
ERR3287554	NC_000962.3	781359	781934	rpsL	134.80
ERR3287554	NC_000962.3	1471645	1473382	rrs	100.06
ERR3287554	NC_000962.3	1673239	1674183	fabG1	123.53
ERR3287554	NC_000962.3	1674001	1675011	inhA	133.04
ERR3287554	NC_000962.3	2153888	2156311	katG	109.81
ERR3287554	NC_000962.3	2288680	2289441	pncA	104.18
ERR3287554	NC_000962.3	2714123	2715532	eis	82.22
ERR3287554	NC_000962.3	2725992	2726780	ahpC	135.29
ERR3287554	NC_000962.3	4246313	4249810	embB	74.32
ERR3287554	NC_000962.3	4326003	4327673	ethA	136.52
ERR4797483	NC_000962.3	7101	9818	gyrA	115.19
ERR4797483	NC_000962.3	759606	763325	rpoB	123.72
ERR4797483	NC_000962.3	781359	781934	rpsL	144.43
ERR4797483	NC_000962.3	1471645	1473382	rrs	99.63
ERR4797483	NC_000962.3	1673239	1674183	fabG1	110.55
ERR4797483	NC_000962.3	1674001	1675011	inhA	83.48
ERR4797483	NC_000962.3	2153888	2156311	katG	121.68
ERR4797483	NC_000962.3	2288680	2289441	pncA	126.90
ERR4797483	NC_000962.3	2714123	2715532	eis	123.16
ERR4797483	NC_000962.3	2725992	2726780	ahpC	149.40
ERR4797483	NC_000962.3	4246313	4249810	embB	106.43
ERR4797483	NC_000962.3	4326003	4327673	ethA	129.49
ERR4797823	NC_000962.3	7101	9818	gyrA	78.69
ERR4797823	NC_000962.3	759606	763325	rpoB	76.76
ERR4797823	NC_000962.3	781359	781934	rpsL	79.86
ERR4797823	NC_000962.3	1471645	1473382	rrs	29.87
ERR4797823	NC_000962.3	1673239	1674183	fabG1	70.54
ERR4797823	NC_000962.3	1674001	1675011	inhA	69.16
ERR4797823	NC_000962.3	2153888	2156311	katG	72.06
ERR4797823	NC_000962.3	2288680	2289441	pncA	76.68
ERR4797823	NC_000962.3	2714123	2715532	eis	72.96
ERR4797823	NC_000962.3	2725992	2726780	ahpC	72.88
ERR4797823	NC_000962.3	4246313	4249810	embB	77.99
ERR4797823	NC_000962.3	4326003	4327673	ethA	78.96
ERR4799708	NC_000962.3	7101	9818	gyrA	92.91
ERR4799708	NC_000962.3	759606	763325	rpoB	78.38
ERR4799708	NC_000962.3	781359	781934	rpsL	106.31
ERR4799708	NC_000962.3	1471645	1473382	rrs	65.54
ERR4799708	NC_000962.3	1673239	1674183	fabG1	70.51
ERR4799708	NC_000962.3	1674001	1675011	inhA	86.63
ERR4799708	NC_000962.3	2153888	2156311	katG	79.73
ERR4799708	NC_000962.3	2288680	2289441	pncA	90.82
ERR4799708	NC_000962.3	2714123	2715532	eis	93.46
ERR4799708	NC_000962.3	2725992	2726780	ahpC	93.41
ERR4799708	NC_000962.3	4246313	4249810	embB	95.21
ERR4799708	NC_000962.3	4326003	4327673	ethA	89.73
ERR4808873	NC_000962.3	7101	9818	gyrA	75.50
ERR4808873	NC_000962.3	759606	763325	rpoB	68.75
ERR4808873	NC_000962.3	781359	781934	rpsL	82.23
ERR4808873	NC_000962.3	1471645	1473382	rrs	101.64
ERR4808873	NC_000962.3	1673239	1674183	fabG1	77.96
ERR4808873	NC_000962.3	1674001	1675011	inhA	75.63
ERR4808873	NC_000962.3	2153888	2156311	katG	77.43
ERR4808873	NC_000962.3	2288680	2289441	pncA	77.40
ERR4808873	NC_000962.3	2714123	2715532	eis	72.97
ERR4808873	NC_000962.3	2725992	2726780	ahpC	95.92
ERR4808873	NC_000962.3	4246313	4249810	embB	68.17
ERR4808873	NC_000962.3	4326003	4327673	ethA	76.39
ERR4809179	NC_000962.3	7101	9818	gyrA	115.42
ERR4809179	NC_000962.3	759606	763325	rpoB	113.95
ERR4809179	NC_000962.3	781359	781934	rpsL	115.64
ERR4809179	NC_000962.3	1471645	1473382	rrs	108.63
ERR4809179	NC_000962.3	1673239	1674183	fabG1	106.97
ERR4809179	NC_000962.3	1674001	1675011	inhA	110.85
ERR4809179	NC_000962.3	2153888	2156311	katG	108.00
ERR4809179	NC_000962.3	2288680	2289441	pncA	114.64
ERR4809179	NC_000962.3	2714123	2715532	eis	119.36
ERR4809179	NC_000962.3	2725992	2726780	ahpC	127.72
ERR4809179	NC_000962.3	4246313	4249810	embB	105.06
ERR4809179	NC_000962.3	4326003	4327673	ethA	111.69
ERR4813445	NC_000962.3	7101	9818	gyrA	84.42
ERR4813445	NC_000962.3	759606	763325	rpoB	84.37
ERR4813445	NC_000962.3	781359	781934	rpsL	86.36
ERR4813445	NC_000962.3	1471645	1473382	rrs	60.20
ERR4813445	NC_000962.3	1673239	1674183	fabG1	70.93
ERR4813445	NC_000962.3	1674001	1675011	inhA	75.32
ERR4813445	NC_000962.3	2153888	2156311	katG	84.86
ERR4813445	NC_000962.3	2288680	2289441	pncA	78.88
ERR4813445	NC_000962.3	2714123	2715532	eis	90.97
ERR4813445	NC_000962.3	2725992	2726780	ahpC	88.63
ERR4813445	NC_000962.3	4246313	4249810	embB	85.74
ERR4813445	NC_000962.3	4326003	4327673	ethA	82.01
ERR4813681	NC_000962.3	7101	9818	gyrA	90.81
ERR4813681	NC_000962.3	759606	763325	rpoB	95.95
ERR4813681	NC_000962.3	781359	781934	rpsL	90.66
ERR4813681	NC_000962.3	1471645	1473382	rrs	85.92
ERR4813681	NC_000962.3	1673239	1674183	fabG1	85.04
ERR4813681	NC_000962.3	1674001	1675011	inhA	91.53
ERR4813681	NC_000962.3	2153888	2156311	katG	95.64
ERR4813681	NC_000962.3	2288680	2289441	pncA	86.79
ERR4813681	NC_000962.3	2714123	2715532	eis	86.30
ERR4813681	NC_000962.3	2725992	2726780	ahpC	103.78
ERR4813681	NC_000962.3	4246313	4249810	embB	81.01
ERR4813681	NC_000962.3	4326003	4327673	ethA	102.29
ERR4814489	NC_000962.3	7101	9818	gyrA	106.72
ERR4814489	NC_000962.3	759606	763325	rpoB	97.57
ERR4814489	NC_000962.3	781359	781934	rpsL	114.69
ERR4814489	NC_000962.3	1471645	1473382	rrs	17.31
ERR4814489	NC_000962.3	1673239	1674183	fabG1	99.52
ERR4814489	NC_000962.3	1674001	1675011	inhA	93.06
ERR4814489	NC_000962.3	2153888	2156311	katG	96.32
ERR4814489	NC_000962.3	2288680	2289441	pncA	110.47
ERR4814489	NC_000962.3	2714123	2715532	eis	115.92
ERR4814489	NC_000962.3	2725992	2726780	ahpC	115.16
ERR4814489	NC_000962.3	4246313	4249810	embB	101.33
ERR4814489	NC_000962.3	4326003	4327673	ethA	110.40
ERR4818219	NC_000962.3	7101	9818	gyrA	97.09
ERR4818219	NC_000962.3	759606	763325	rpoB	101.49
ERR4818219	NC_000962.3	781359	781934	rpsL	106.28
ERR4818219	NC_000962.3	1471645	1473382	rrs	39.01
ERR4818219	NC_000962.3	1673239	1674183	fabG1	107.51
ERR4818219	NC_000962.3	1674001	1675011	inhA	98.47
ERR4818219	NC_000962.3	2153888	2156311	katG	85.95
ERR4818219	NC_000962.3	2288680	2289441	pncA	107.02
ERR4818219	NC_000962.3	2714123	2715532	eis	155.06
ERR4818219	NC_000962.3	2725992	2726780	ahpC	103.06
ERR4818219	NC_000962.3	4246313	4249810	embB	137.84
ERR4818219	NC_000962.3	4326003	4327673	ethA	103.35
ERR4818435	NC_000962.3	7101	9818	gyrA	82.77
ERR4818435	NC_000962.3	759606	763325	rpoB	75.15
ERR4818435	NC_000962.3	781359	781934	rpsL	91.14
ERR4818435	NC_000962.3	1471645	1473382	rrs	47.47
ERR4818435	NC_000962.3	1673239	1674183	fabG1	76.58
ERR4818435	NC_000962.3	1674001	1675011	inhA	61.92
ERR4818435	NC_000962.3	2153888	2156311	katG	71.27
ERR4818435	NC_000962.3	2288680	2289441	pncA	72.15
ERR4818435	NC_000962.3	2714123	2715532	eis	77.27
ERR4818435	NC_000962.3	2725992	2726780	ahpC	77.98
ERR4818435	NC_000962.3	4246313	4249810	embB	71.96
ERR4818435	NC_000962.3	4326003	4327673	ethA	85.54
ERR4821755	NC_000962.3	7101	9818	gyrA	67.09
ERR4821755	NC_000962.3	759606	763325	rpoB	66.71
ERR4821755	NC_000962.3	781359	781934	rpsL	72.30
ERR4821755	NC_000962.3	1471645	1473382	rrs	15.82
ERR4821755	NC_000962.3	1673239	1674183	fabG1	60.97
ERR4821755	NC_000962.3	1674001	1675011	inhA	55.24
ERR4821755	NC_000962.3	2153888	2156311	katG	59.99
ERR4821755	NC_000962.3	2288680	2289441	pncA	74.84
ERR4821755	NC_000962.3	2714123	2715532	eis	102.71
ERR4821755	NC_000962.3	2725992	2726780	ahpC	66.25
ERR4821755	NC_000962.3	4246313	4249810	embB	95.30
ERR4821755	NC_000962.3	4326003	4327673	ethA	65.94
ERR4821953	NC_000962.3	7101	9818	gyrA	82.35
ERR4821953	NC_000962.3	759606	763325	rpoB	79.00
ERR4821953	NC_000962.3	781359	781934	rpsL	105.26
ERR4821953	NC_000962.3	1471645	1473382	rrs	22.13
ERR4821953	NC_000962.3	1673239	1674183	fabG1	84.24
ERR4821953	NC_000962.3	1674001	1675011	inhA	63.87
ERR4821953	NC_000962.3	2153888	2156311	katG	71.50
ERR4821953	NC_000962.3	2288680	2289441	pncA	83.45
ERR4821953	NC_000962.3	2714123	2715532	eis	97.15
ERR4821953	NC_000962.3	2725992	2726780	ahpC	96.63
ERR4821953	NC_000962.3	4246313	4249810	embB	85.67
ERR4821953	NC_000962.3	4326003	4327673	ethA	85.99
ERR4831878	NC_000962.3	7101	9818	gyrA	93.74
ERR4831878	NC_000962.3	759606	763325	rpoB	104.83
ERR4831878	NC_000962.3	781359	781934	rpsL	111.06
ERR4831878	NC_000962.3	1471645	1473382	rrs	146.44
ERR4831878	NC_000962.3	1673239	1674183	fabG1	95.17
ERR4831878	NC_000962.3	1674001	1675011	inhA	81.09
ERR4831878	NC_000962.3	2153888	2156311	katG	94.64
ERR4831878	NC_000962.3	2288680	2289441	pncA	93.96
ERR4831878	NC_000962.3	2714123	2715532	eis	97.99
ERR4831878	NC_000962.3	2725992	2726780	ahpC	100.76
ERR4831878	NC_000962.3	4246313	4249810	embB	92.81
ERR4831878	NC_000962.3	4326003	4327673	ethA	110.28
ERR5918134	NC_000962.3	7101	9818	gyrA	103.35
ERR5918134	NC_000962.3	759606	763325	rpoB	102.22
ERR5918134	NC_000962.3	781359	781934	rpsL	101.62
ERR5918134	NC_000962.3	1471645	1473382	rrs	82.46
ERR5918134	NC_000962.3	1673239	1674183	fabG1	80.81
ERR5918134	NC_000962.3	1674001	1675011	inhA	91.70
ERR5918134	NC_000962.3	2153888	2156311	katG	86.37
ERR5918134	NC_000962.3	2288680	2289441	pncA	100.87
ERR5918134	NC_000962.3	2714123	2715532	eis	100.06
ERR5918134	NC_000962.3	2725992	2726780	ahpC	90.28
ERR5918134	NC_000962.3	4246313	4249810	embB	97.05
ERR5918134	NC_000962.3	4326003	4327673	ethA	106.59
ERR8975061	NC_000962.3	7101	9818	gyrA	113.44
ERR8975061	NC_000962.3	759606	763325	rpoB	108.50
ERR8975061	NC_000962.3	781359	781934	rpsL	105.38
ERR8975061	NC_000962.3	1471645	1473382	rrs	100.10
ERR8975061	NC_000962.3	1673239	1674183	fabG1	97.20
ERR8975061	NC_000962.3	1674001	1675011	inhA	101.90
ERR8975061	NC_000962.3	2153888	2156311	katG	102.94
ERR8975061	NC_000962.3	2288680	2289441	pncA	107.47
ERR8975061	NC_000962.3	2714123	2715532	eis	116.55
ERR8975061	NC_000962.3	2725992	2726780	ahpC	104.91
ERR8975061	NC_000962.3	4246313	4249810	embB	104.28
ERR8975061	NC_000962.3	4326003	4327673	ethA	0.00
ERR8975559	NC_000962.3	7101	9818	gyrA	106.24
ERR8975559	NC_000962.3	759606	763325	rpoB	103.91
ERR8975559	NC_000962.3	781359	781934	rpsL	105.93
ERR8975559	NC_000962.3	1471645	1473382	rrs	85.77
ERR8975559	NC_000962.3	1673239	1674183	fabG1	84.89
ERR8975559	NC_000962.3	1674001	1675011	inhA	99.82
ERR8975559	NC_000962.3	2153888	2156311	katG	90.45
ERR8975559	NC_000962.3	2288680	2289441	pncA	97.61
ERR8975559	NC_000962.3	2714123	2715532	eis	100.62
ERR8975559	NC_000962.3	2725992	2726780	ahpC	99.33
ERR8975559	NC_000962.3	4246313	4249810	embB	100.68
ERR8975559	NC_000962.3	4326003	4327673	ethA	103.56
ERR9119614	NC_000962.3	7101	9818	gyrA	125.33
ERR9119614	NC_000962.3	759606	763325	rpoB	130.28
ERR9119614	NC_000962.3	781359	781934	rpsL	150.34
ERR9119614	NC_000962.3	1471645	1473382	rrs	159.78
ERR9119614	NC_000962.3	1673239	1674183	fabG1	130.97
ERR9119614	NC_000962.3	1674001	1675011	inhA	114.67
ERR9119614	NC_000962.3	2153888	2156311	katG	124.70
ERR9119614	NC_000962.3	2288680	2289441	pncA	133.87
ERR9119614	NC_000962.3	2714123	2715532	eis	140.70
ERR9119614	NC_000962.3	2725992	2726780	ahpC	136.31
ERR9119614	NC_000962.3	4246313	4249810	embB	124.74
ERR9119614	NC_000962.3	4326003	4327673	ethA	134.36
ERR9125253	NC_000962.3	7101	9818	gyrA	124.96
ERR9125253	NC_000962.3	759606	763325	rpoB	129.87
ERR9125253	NC_000962.3	781359	781934	rpsL	160.06
ERR9125253	NC_000962.3	1471645	1473382	rrs	124.59
ERR9125253	NC_000962.3	1673239	1674183	fabG1	119.65
ERR9125253	NC_000962.3	1674001	1675011	inhA	109.12
ERR9125253	NC_000962.3	2153888	2156311	katG	126.36
ERR9125253	NC_000962.3	2288680	2289441	pncA	129.54
ERR9125253	NC_000962.3	2714123	2715532	eis	127.12
ERR9125253	NC_000962.3	2725992	2726780	ahpC	137.66
ERR9125253	NC_000962.3	4246313	4249810	embB	119.42
ERR9125253	NC_000962.3	4326003	4327673	ethA	141.90
SRR2100603	NC_000962.3	7101	9818	gyrA	60.75
SRR2100603	NC_000962.3	759606	763325	rpoB	60.80
SRR2100603	NC_000962.3	781359	781934	rpsL	65.23
SRR2100603	NC_000962.3	1471645	1473382	rrs	44.39
SRR2100603	NC_000962.3	1673239	1674183	fabG1	56.74
SRR2100603	NC_000962.3	1674001	1675011	inhA	62.33
SRR2100603	NC_000962.3	2153888	2156311	katG	62.19
SRR2100603	NC_000962.3	2288680	2289441	pncA	61.61
SRR2100603	NC_000962.3	2714123	2715532	eis	54.32
SRR2100603	NC_000962.3	2725992	2726780	ahpC	57.63
SRR2100603	NC_000962.3	4246313	4249810	embB	63.37
SRR2100603	NC_000962.3	4326003	4327673	ethA	64.78
SRR6045767	NC_000962.3	7101	9818	gyrA	71.34
SRR6045767	NC_000962.3	759606	763325	rpoB	67.75
SRR6045767	NC_000962.3	781359	781934	rpsL	84.90
SRR6045767	NC_000962.3	1471645	1473382	rrs	24.57
SRR6045767	NC_000962.3	1673239	1674183	fabG1	63.77
SRR6045767	NC_000962.3	1674001	1675011	inhA	63.60
SRR6045767	NC_000962.3	2153888	2156311	katG	69.01
SRR6045767	NC_000962.3	2288680	2289441	pncA	70.34
SRR6045767	NC_000962.3	2714123	2715532	eis	65.43
SRR6045767	NC_000962.3	2725992	2726780	ahpC	70.84
SRR6045767	NC_000962.3	4246313	4249810	embB	65.74
SRR6045767	NC_000962.3	4326003	4327673	ethA	75.50
SRR671855	NC_000962.3	7101	9818	gyrA	131.01
SRR671855	NC_000962.3	759606	763325	rpoB	117.33
SRR671855	NC_000962.3	781359	781934	rpsL	105.77
SRR671855	NC_000962.3	1471645	1473382	rrs	146.65
SRR671855	NC_000962.3	1673239	1674183	fabG1	111.75
SRR671855	NC_000962.3	1674001	1675011	inhA	111.18
SRR671855	NC_000962.3	2153888	2156311	katG	111.20
SRR671855	NC_000962.3	2288680	2289441	pncA	114.63
SRR671855	NC_000962.3	2714123	2715532	eis	103.90
SRR671855	NC_000962.3	2725992	2726780	ahpC	125.34
SRR671855	NC_000962.3	4246313	4249810	embB	100.92
SRR671855	NC_000962.3	4326003	4327673	ethA	127.45
