UNIQUEID,run_accession,sample_accession,INH,RIF,TB_DEPTH,TB_COVERAGE,dataset,center_name,fastq_1,fastq_2,md5_1,md5_2,MB
site.06.subj.06TB_0020.lab.06MIL0481.iso.1,ERR2510662,SAMEA1102397,R,R,52.6289,99.7308,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);San Raffaele Scientific Institute,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/002/ERR2510662/ERR2510662_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/002/ERR2510662/ERR2510662_2.fastq.gz,923a6d09b98e741373d9e2f9e853fadf,0979884095838e7a96385c62f93a2524,208.172854
site.07.subj.060F76A7-0BA8-495B-8D39-7222366BD2EE.lab.060F76A7-0BA8-495B-8D39-7222366BD2EE.iso.1,ERR4814489,SAMEA7547848,R,S,97.3906,99.2798,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Public Health England,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4814489/ERR4814489_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4814489/ERR4814489_2.fastq.gz,074d4fdf05c629960ba23672c0e8f40c,32b723c1257046a7fd2cb2a137e0d0cb,306.602258
site.07.subj.7F9C471E-25BB-4F99-A131-528B6F00A981.lab.7F9C471E-25BB-4F99-A131-528B6F00A981.iso.1,ERR4818219,SAMEA7551583,S,S,108.583,99.591,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Public Health England,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4818219/ERR4818219_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/009/ERR4818219/ERR4818219_2.fastq.gz,492f49df9ecb3876d06803f8a5dff359,515e7133299810232df27c1b75aa3abb,337.943223
site.07.subj.862634B2-16BB-4FEA-8FD9-9C50E35B0654.lab.862634B2-16BB-4FEA-8FD9-9C50E35B0654.iso.1,ERR4818435,SAMEA7551799,S,S,64.9491,99.247,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Public Health England,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4818435/ERR4818435_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR481/005/ERR4818435/ERR4818435_2.fastq.gz,acca9b6204e3603aac70a5619cfdc337,e16429bbb91f99d644aff737f4c185a3,272.001601
site.07.subj.EF6DB366-05DF-4A30-B35D-273D7C7F81F4.lab.EF6DB366-05DF-4A30-B35D-273D7C7F81F4.iso.1,ERR4821755,SAMEA7555123,S,S,68.6191,99.5894,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Public Health England,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4821755/ERR4821755_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/005/ERR4821755/ERR4821755_2.fastq.gz,65b512df4440013b178180a13b246fa4,d4cf0af352b9bc54c71e41a75c7fdd00,234.153975
site.07.subj.F5821B8C-B38D-48A5-B282-02A3299C6AA9.lab.F5821B8C-B38D-48A5-B282-02A3299C6AA9.iso.1,ERR4821953,SAMEA7555322,S,S,86.1651,99.4425,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Public Health England,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/003/ERR4821953/ERR4821953_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR482/003/ERR4821953/ERR4821953_2.fastq.gz,98ccd37397555b482f04def971a4457d,7b8b7a780126641c0dbe2773d2efb479,312.063455
site.07.subj.FD_127_1341.lab.13_0607135.iso.1,ERR2512913,SAMEA1118094,S,S,107.078,99.2878,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);PHE,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/003/ERR2512913/ERR2512913_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR251/003/ERR2512913/ERR2512913_2.fastq.gz,3f2fb558372857f8f0748516c545d5f9,40ca9411817e2d8488a716addbb4cfa0,222.179091
site.08.subj.02TB1452.lab.20351.iso.1,ERR4831878,SAMEA7564194,R,S,75.7338,99.3586,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);OUCRU-HCMC,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4831878/ERR4831878_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4831878/ERR4831878_2.fastq.gz,720dfdb7802eef509beda25113198387,46b21127c5865cbd19db40127a210a83,287.811147
site.10.subj.YA00009296.lab.YA00009296.iso.1,ERR4808873,SAMEA7541410,S,R,57.1147,99.0859,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);CTB/NICD,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808873/ERR4808873_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/003/ERR4808873/ERR4808873_2.fastq.gz,2be013c747ebf8a62605e3205c51a20b,1218f4aeef95a597f3e46b067c770a73,235.207567
site.10.subj.YA00013885.lab.YA00013885.iso.1,ERR4809179,SAMEA7541717,S,R,105.97,99.6693,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);CTB/NICD,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4809179/ERR4809179_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR480/009/ERR4809179/ERR4809179_2.fastq.gz,362ddfc65014bfa62a31a3e357e5887a,40c3860c63a5c99fb1d5c01833301765,345.589313
site.10.subj.YA00033032.lab.YA00033032.iso.1,ERR8975061,SAMEA8718312,R,S,100.406,99.5662,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);CTB/NICD,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/001/ERR8975061/ERR8975061_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/001/ERR8975061/ERR8975061_2.fastq.gz,2b759fbf7f60434bbf3d8bdc2213f730,a584cc4bde2feac9ebed4ebef405c64f,314.744568
site.10.subj.YA00105894.lab.YA00105894.iso.1,ERR8975559,SAMEA8718687,R,S,101.653,99.1723,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);CTB/NICD,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/009/ERR8975559/ERR8975559_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR897/009/ERR8975559/ERR8975559_2.fastq.gz,ae11b9ac5469ec8cffcc969c92f352a7,9de7a2e9891fdac25d52c06be211e645,318.303845
site.10.subj.YA00128335.lab.YA00128335.iso.1,ERR5918134,SAMEA8742464,R,S,82.0776,98.9347,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);CTB/NICD,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/004/ERR5918134/ERR5918134_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/004/ERR5918134/ERR5918134_2.fastq.gz,1410822f9b694b830417ae85d107c4c2,85850c299c6b130bcc6c2388a7746a7f,315.160543
site.24.subj.PT-695.lab.2014-425.iso.1,ERR9125253,SAMEA13300009,R,R,114.06,98.9916,CRyPTIC-v1.0,University of Oxford;Nuffield Department of Medicine (NDM);Public Health Ontario,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/003/ERR9125253/ERR9125253_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/003/ERR9125253/ERR9125253_2.fastq.gz,6399df68373eff0d427137c6eaa228fd,2f520aa41b1f4667a2172486ee7b9679,537.443487
site.ENA.subj.ERR181948.lab.1.iso.1,ERR181948,SAMEA1556683,S,S,58.7143,98.6338,CRyPTIC-v3.0,Wellcome Sanger Institute;SC,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181948/ERR181948_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181948/ERR181948_2.fastq.gz,ba099e4af2a077001f18ab25304c2d4a,4e4ddc46aaa13b516ee13b8a201ed4a5,270.278128
site.ENA.subj.ERR190365.lab.1.iso.1,ERR190365,SAMEA1569098,R,S,72.9376,99.4398,CRyPTIC-v3.0,Wellcome Sanger Institute;SC,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/ERR190365/ERR190365_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR190/ERR190365/ERR190365_2.fastq.gz,1b77a240e4761af560c0a091039e33e9,4f529cf3e88ac9da7128cbba5909aa93,340.696401
site.ENA.subj.SAMEA1707452.lab.1.iso.1,ERR229953,SAMEA1707452,R,R,88.2439,99.8835,CRyPTIC-v1.0,Wellcome Sanger Institute;SC,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/ERR229953/ERR229953_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/ERR229953/ERR229953_2.fastq.gz,b59119c9dd741000b069687efe64c1f6,2d637c40ce0208f1de873da178942d0c,283.740649
site.ENA.subj.SAMN01908879.lab.1.iso.1,SRR671855,SAMN01908879,R,R,89.7765,98.9633,CRyPTIC-v1.0,BGI,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR671/SRR671855/SRR671855_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR671/SRR671855/SRR671855_2.fastq.gz,32c4011419e6c42779bbc285093acfcb,a71fd2b22c1e1e4ba3ae77cdbbb8adde,455.750864
site.ENA.subj.SAMN03647776.lab.1.iso.1,SRR2100603,SAMN03647776,S,S,63.4805,99.7775,CRyPTIC-v1.0,,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR210/003/SRR2100603/SRR2100603_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR210/003/SRR2100603/SRR2100603_2.fastq.gz,27b23ec5c57152807acabdd43152c99a,63a1868679e0a3543e848248aa969de2,188.252997
site.ENA.subj.SAMN07658508.lab.1.iso.1,SRR6045767,SAMN07658508,S,S,61.4383,99.2738,CRyPTIC-v1.0,,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR604/007/SRR6045767/SRR6045767_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR604/007/SRR6045767/SRR6045767_2.fastq.gz,9d14bb69950f4a6b436fb05819c2c268,5834c7a3b972a0a95683a99811194f31,306.486728
